Erdos_1500_42500_grid_500_500_2.pickle,6,0.812,0,0,4,12,15,18,22,
Erdos_1500_42500_grid_500_500_2.pickle,6,0.7443333333333332,0.10068542871515995,0,4,12,15,18,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_3000_57500_path_1000_500_3.pickle,6,0.837,0,2,11,13,14,19,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_3000_57500_path_1000_500_3.pickle,6,0.763,0,1,5,8,14,21,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_3000_57500_path_1000_500_3.pickle,6,0.917,0,1,3,12,14,16,23,
Erdos_3000_57500_path_1000_500_3.pickle,6,0.8390000000000001,0.06288614049746309,1,3,12,14,16,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7000_15_path_1000_500_5.pickle,6,0.944,0,5,7,9,16,17,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7000_15_path_1000_500_5.pickle,6,0.931,0,5,9,11,13,17,18,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7000_15_path_1000_500_5.pickle,6,0.877,0,1,4,6,9,15,20,
Barabasi_7000_15_path_1000_500_5.pickle,6,0.9173333333333332,0.029009576962712762,1,4,6,9,15,20,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_3500_12_grid_500_483_590.pickle,6,0.918,0,1,3,5,15,16,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_3500_12_grid_500_483_590.pickle,6,0.689,0,5,7,8,9,10,14,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_3500_12_grid_500_483_590.pickle,6,0.899,0,1,2,13,18,19,23,
Barabasi_3500_12_grid_500_483_590.pickle,6,0.8353333333333334,0.10376362025724091,1,2,13,18,19,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7500_10_grid_250_500_4.pickle,6,0.964,0,7,9,12,18,19,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7500_10_grid_250_500_4.pickle,6,0.898,0,2,11,15,17,23,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7500_10_grid_250_500_4.pickle,6,0.92,0,0,7,13,15,22,24,
Barabasi_7500_10_grid_250_500_4.pickle,6,0.9273333333333333,0.02743882083634221,0,7,13,15,22,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Cora,6,0.53,0,1,18,20,21,22,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Cora,6,0.577,0,11,14,15,18,20,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Cora,6,0.391,0,0,1,8,11,13,24,
Cora,6,0.49933333333333335,0.07896975511056255,0,1,8,11,13,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
CiteSeer,6,0.368,0,7,10,13,15,21,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
CiteSeer,6,0.441,0,3,5,6,18,20,21,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
CiteSeer,6,0.359,0,0,1,13,18,19,24,
CiteSeer,6,0.3893333333333333,0.03671814568060624,0,1,13,18,19,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
PubMed,6,0.569,0,0,1,6,9,16,17,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
PubMed,6,0.605,0,3,13,20,21,23,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
PubMed,6,0.577,0,3,7,11,14,16,19,
PubMed,6,0.5836666666666667,0.015434449203720314,3,7,11,14,16,19,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7000_15_path_1000_500_5.pickle,6,nan,nan,8,12,13,14,21,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_7000_15_path_1000_500_5.pickle,6,nan,nan,3,6,9,10,15,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
